Comment,anti1,anti2,anti3,cent1,cent2,cent3,sov1,sov2,sov3,none1,none2,none3,Populism
"Ich habe nicht Angst mich anzustecken. Ich habe Angst, dass wir wieder in einen Lockdown schlittern, der uns wieder Abermilliarden kostet. War auch klar ersichtlich, wenn man mehr als nur den ersten Satz gelesen hätte.

Warum ich auf die Ansteckung Bezug nehme? Weil der Vorposter vollkommen untaugliche Vergleiche geliefert hat. Müssen Sie während des Lesens wohl wieder vergessen haben. Aber keine Sorge, das kann schon mal vorkommen, wenn man sich nur auf die Punkte fixiert, die man gerade für ein ""Gegenargument"" braucht um den Diskussionspartner schlecht zu machen. Wozu ich hinzufügen darf: Inhaltlich haben Sie halt wohlweislich nichts zu Erwidern. Ich nehme es zur Kenntnis.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Weil Ärzte und Polizisten nicht bestochen werden müssen, ist das kein Grund, die Korruption in der Parteipolitik kritiklos und tatenlos hinzunehmen.

Bei den Parteien ist die Korruption gerade eben nicht im Griff. Das gesamte Parteiensystem ist so konstruiert, dass es zuviel Macht den Parteiführungen gibt und daher systemische Korruption herrscht. Das spürt man sehr direkt durch instabilität, Regierungsstürze, korrupte Lobby-Entscheidungen (UBER, Artikel 13,...)

Und die Parteien (statt dem Volk) können die Anti-Korruptionsgesetze gegen Parteien  bestimmen...",1,1,1,0,0,0,1,0,1,0,0,0,1
"Wofür? Für seine Beratertätigkeiten? Sein Lobbying?
Gusenbauer ist doch der Kapitalist schlecht hin. Was hat der noch mit dem Sozis am Hut?
Der verkehrt doch nur mehr in Kreisen wie mit Benko...",0,0,0,0,0,0,0,0,0,1,1,1,0
"Ich frage mich ja, wie oft bei diesen Drive-Through-Teststationen die Leute im Scherz einen Big Mac bestellen.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Failed State. Nur gemacht für Bürokraten, Beamte, Politiker. Wobei die weder wirklich  gut sind, noch selbst es wahnsinnig gut haben (ausser die, die meinen das über den korrupten Weg zu machen; geht nicht immer auf, wie wir gerade sehen; oft aber schon). Es ist die Austria Mentalität, besser dem Anderen ans Bein zu pickeln, als eine bessere Lösung zu suchen (bringt ausser einem Hochsteuerland der Sonderklasse, und Giesskannen-Umverteilung, die trotzdem den wenigsten was bringt, wenig). Unternehmer in so einem Land? Ein Wahnsinnsritt ins Ungewisse (ausser halt die, die sich Partei und Politik anbiedern; das läuft natürlich; hochgradig).",1,1,0,0,0,1,0,0,0,0,0,0,1
"Wasserstoffbrennen 10 Millionen Jahre
Heliumbrennen 1 Million Jahre
Kohlenstoffbrennen 10.000 Jahre
Neonbrennen 10 Jahre
Sauerstoffbrennen Wochen
Siliziumbrennen Wochen
Eisenbrennen Tage.

Kommt schlussendlich auf die vorhandenen Mengen an, ist also eher ein Richtwert. Das war ja niemals ein Stern mit soviel Masse. Daher wirds weniger sein und er setzt beim Kohlenstoffbrennen an.

Ein paar dutzend, hundert, vielleicht tausend Jahre. In der Astronomie alles einerlei, ist ein Wimpernschlag.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Völlig egal ob Rechtsaußen oder Linksaußen Aktivisten ein Thema wie den Klimaschutz für ihre Ideologie missbrauchen, dadurch vertreibt man immer die Mehrheit in der Mitte.
Nein, Klimaschutz ist weder ein völkisches Thema noch ein linker Kampf ""gegen Patriachat, Rassismus und Nationalismus"". Er wird dafür nur missbraucht.
Das gibt es auch bei anderen Themen wie Gleichberechtigung, wo man alle Frauen über den Trick der ""Intersektionalität"" für Linksaußen Politik in Geiselhaft zu nehmen versucht. Das letzte Frauenvolksbegehren hat mehr Linksaußen Forderungen als Frauenforderungen darin gehabt und ist deshalb hoffnungslos untergegangen.
Leute denen ein bestimmtes Thema am Herzen liegt, sollten also Linke und Rechte Ideologen davonjagen.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Hans Rauscher hat das in einem seiner Texte als ""Message Control"" beschrieben.  Die permanente  Formung von Narrativen, Aspekte der Realität so zu balancieren, das sie der herrschenden Klasse dienen.  ""Rassismus, Sexismus, böse Republikaner"",..usw..werden bemüht um den eigentlichen Konflikt eines Klassenkampfes zwischen einer immer tyrrannischer agierenden Elite und dem breiten Rest der Menschheit zu vernebeln. Schnittstelle sind hier Medien, die darin unterstützt werden sich konsequent aus ihrer eigenen Verantwortung zu nehmen und so ihre Funktion als bürgerlichen Gegenpol gegen ruchlose Machtinteressen korrumpieren. MMn.",1,1,1,0,0,0,0,0,0,0,0,0,1
"Vor allem gab es damals keinen Sozialstaat, alle mussten arbeiten, um  sich ihren Lebensunterhalt zu verdienen. Und alle wollten auch arbeiten, denn die Städte boten natürlich ganz andere Arbeitsplätze und Möglichkeiten als das Land. 

Und das ist der große Unterschied zur heutigen Zuwanderung: Keine Sprachkenntnisse, bildungsfern, völlig andere Kultur, größtenteils kein Wille, sich in die Gesellschaft einzugliedern, anzupassen, zu arbeiten etc, denn man bekommt alles gratis, was man braucht. Alle Zuwanderer profitieren vom Sozialstaat, den die arbeitende Bevölkerung Österreichs finanziert, ohne selbst auch nur etwas dazu beigetragen zu haben. Und das ist es ua auch, was der Mehrheit der Bevölkerung sauer aufstößt.",0,0,0,1,0,1,0,0,0,0,1,0,1
"Damit Sie Sie endlich Erkenntnis, über was so alles läuft, wo aber tunlichst der mediale Daumen drauf gehalten wird !",1,0,0,0,0,0,0,0,0,0,1,1,0
"Einfach nur scheinheilig. Glaubt er, dass die Leute nicht wegen der F1 den Fernseher bzw. Internet benutzen? Was ist mit den tausenden Zuschauer die zT lange Anfahrtswege haben? Nicht zuletzt der Aberwitzige Aufwand in der Entwicklung usw. usw. 
So viele Jahre ein Teil des Systems und jetzt so tun wollen als ob. Alonso hat schon recht mit seiner Kritik.",0,0,0,0,0,0,0,0,0,1,1,1,0
"für Sie würden, für mich hat und ausreichend Geld am Konto, so einfach ist das.

Im Gegensatz zu solchen Dumpfbacken und Weinbauern im Burgenland, gibt es halt auch Menschen die mit Hirn, Verstand und Rechtsbeistand arbeiten.",0,0,0,0,0,0,0,0,0,1,1,1,0
sicher.... und vorallem der Tag der offenen Tür bei der Bank ist ein beliebtes ausflugsziel,0,0,0,0,0,0,0,0,0,1,1,1,0
Wie er muss arbeuten gehen? Bei einem postiven bescheid sicher nicht,0,0,0,0,0,0,0,0,0,1,1,1,0
"So kann nur ein Roter denken: da ist GELD!!!!!!  Geld gehört prinzipiell der Allgemeinheit also nehmen wir es und verteilen es dorthin, wo am lautesten geschrien wird.

Dass Geld jemand GEHÖRT, der es sich erarbeitet hat, wird ignoriert. Dass derjenige es dann in diesem Staat nicht mehr erwirtschaften  wird, wenn er bloß das Erwirtschaftete an die abliefern soll, die nichts dazu beigetragen haben, wird auch ignoriert. Genauso wie die dann fehlende Bereitschaft, sich überhaupt mehr anzustrengen, wenn man später mit Enteignungen rechnen muss.

Nein. Bloßes Wegnehmen bremst alle Bemühungen. Das geht nur einmal gut, dann sind alle pleite.",0,0,0,0,1,0,0,1,0,1,0,1,0
"Das Wort ""Long Covid"" ist bei österreichischen Maturanten offenbar ein Fremdwort. Und dass es auch Jugendliche trifft, ebenso.
Traurig, der Bildungsstand.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Zeit wird´s. Es ist nämlich sicher gegen die Menschenrechte, wenn die Mehrheit der Geimpften wegen Leuten, die eigenverantwortlich und freiwillig auf eine Impfung verzichten, irgendwelche menschenrechtswidrige Einschränkungen ertragen müssen, nur damit uns die freiwillig Ungeimpften nicht wieder die ICUs verstopfen. Wenn sie sich partout nicht impfen lassen wollen, sollen sie sich doch einfach zu hause einsperren und die Mehrheit der Geimpften frei leben lassen. Alles andere wäre ja eine Diktatur der Ungeimpften und ganz sicher gegen Freiheit, Demokratie und Menschenrechte.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Kein Wunder, dass der auf Krawall gebürstete (""Vasall Putins"") im Weißen Haus auf Eskalationskurs geht.
Rassismus/Pandemie/Atomdeals/WHO...

Es geht immer (nur) ums Geschäft.

ALLE die NICHT zur herrschenden Geldelite gehören,
werden  permanent aufeinander gehetzt oder mit Pipapo beschäftigt und belästigt. Erfolgreich wird jeglicher Anflug einer Chance von change-management in der kollektiven Persönlichkeitsentfaltung unterbunden. Alles, was das big business dieser Elite beeinträchtigen könnte wird eliminiert. Jeder der nicht zu obiger Elite zählt ist ein gegängelter Hamster im Laufrad.
Weder dieser ""aktuelle"" Konflikt noch sonstiger wird mittels Gewalt oder Diskurs zu einer Lösung geführt werden dürfen.
Denn

THE SHOW MUST GO ON!",1,1,1,0,0,0,0,0,0,0,0,0,1
"Ungeimpften. Und der will nicht geschützt werden. Und ich habe, bei aller Liebe, keine Lust, ihn zu schützen. Ich sag's ganz offen:  ich habe meinen Beitrag zur Beendigung der Pandemie mit der Impfung geleistet, das war's...",0,0,0,0,0,0,0,0,0,1,1,1,0
"Einer der stempeln geht ist ein Verlierer, genau. Es gibt genug zu tun und wer nichts kann, kann wohl noch Zeitungen austragen oder Fenster putzen.",0,0,0,0,0,0,0,0,0,1,1,1,0
"Die Aufgabe, einem sechsjährigen Analphabeten Lesen und Schreiben beizubringen ist keine, die sich mit ""Hausverstand"" bewältigen lässt. Das sagt mir MEIN Hausverstand.",0,0,0,0,0,0,0,0,0,1,1,1,0
Ein Einstich muss ja nicht tödlich sein. Er könnte ja dabei auch einen Herzinfarkt erlitten haben.,0,0,0,0,0,0,0,0,0,1,1,1,0
"was spricht denn wirklich dagegen die Vereine jeweils auf ein bestimmtes kleineres Gebiet zu konzentrieren?
macht nicht nur weniger Verkehr, sondern auch noch den Hausärzten die Arbeit einfacher, wenn sie nicht mit einem Dutzend Vereinen kommunizieren müssen, sondern nur mit drei oder vier.",0,0,0,0,0,0,0,0,0,1,1,1,0
"die simple Antwort:

1) Die FPÖ ist bekanntermaßen die neue ""Arbeiterpartei"".

2) Der Akademikeranteil dieser Partei ist daher eher ""überschaubar"".

3) wenn abgesehen von einzelnen Ausreißern (wie zB Zahntechniker) im Grunde die große Mehrheit der ""Farbenstudenten"" einen akademischen Abschluss vorzuweisen hat, verglichen mit den Fans und Wählern dieser Partei (Arbeiterschicht), ist es doch wenig verwunderlich, dass man auf genau dieses Reservoir zurückgreift, wenn es um die Besetzung des Clubs (und von Führungspositionen in den oberen Parteigremien) geht.

vgl. Cartellverband vs ÖVP etc pp

Fazit: irgend an Unberechenbaren setzt keine Partei in den innersten ""elitären"" Club für ihre konspirativen Treffen und Mauscheleien rein, nona.",1,0,0,0,0,0,0,0,0,0,1,1,0
"von Armut und Kastengesellschaft zu verwandeln. Notwendig dazu (man lese ""Ecotopia"") ist die Abschaffung parlamentarischer Demokratie hin zur Despotie und die Rückkehr zu einer Gesellschaft wo der Pöbel wieder seinen ihm zugewiesenen Platz einnimmt. LKW/Taxifahrer als Fahrradkulis als Vision des 21. Jh.s, verdichtete Wohnräume in den Städten, die Landwirtschaft entmotorisiert wo der Bauer und Frau am Feld hocken und das Getreide mit der Sichel ernten, Straßenränder und Dächer werden zur Gemüseversorgung genutzt ganz wie in N-Korea. Die Gesellschaft wird sich in diesem Klimaschutzdespotien wieder in Kasten aufteilen, die die Geld haben dürfen alles, die anderen nichts, der Pöbel wird wieder an seinen Platz verwiesen.",1,1,0,0,0,1,0,0,0,0,0,0,1
"Kurz, Kogler, Anschober und Nehammer haben das ganz alleine verbockt und versuchen nun die Schuld an der ganzen Misere - sowohl gesundheitlich als auch wirtschaftlich - uns Bürgern umzuhängen. Was aber noch viel schlimmer ist: Sie spielen mit Vorurteilen und uns gegeneinander aus: Wer z.B. von der ""Hirnlosigkeit von wenigen ist es ein nicht so großer Schritt zur Arbeitslosigkeit von vielen"" (Kogler) spricht, husst Menschen gegen Menschen auf. Statt Zusammenhalt wird Öl ins Feuer gegossen.

Schämt euch, übernehmt Verantwortung! Ihr habt euch für den Lockdown feiern lassen, jetzt müsst ihr auch für diesen unkoordinierten Herbst/Winter-Fahrplan geradestehen.",1,1,1,1,0,1,0,0,0,0,0,0,1
"Das habe ich anders in Erinnerung. Mein Eindruck damals war, dass die ÖVP (in guter Tradition) einen erfolglosen Chef loswerden wollte und Mitterlehner war damals die einzige Alternative.

Anders im Fall Kurz: hier gierten viele in der ÖVP, durch (korrekte, wie sich gezeigt hat) Umfragen befeuert, nach der Macht - koste es was es wolle (also auch, wenn es dazu notwendig war, einen wertefreien Opportunisten in den Chefsessel zu hieven).",0,1,0,0,0,0,0,0,0,1,0,1,0
"Wie Vollidioten sehen die Minister mit ihren Masken aus, habe aus keinem anderen Land bisher solche Propagandabilder gesehen.

Was die Grünen und der nur noch peinlicher Kogler da mitmachen, geht auf keine Kuhaut.
Es zeigt sich nochmals deutlich, das die Macht brutal korrumpiert und den wahren Charakter der Menschen offenbart.",1,1,1,0,0,0,0,0,0,0,0,0,1
"„Der 51-Jährige könnte psychisch krank sein.“

Ohne jetzt psychisch Kranke verunglimpfen zu wollen, aber wenn jemand absichtlich mit dem Auto Leute tot fährt ist er definitiv psychisch nicht gesund.

Mein Beileid den Opfern.",0,0,0,0,0,0,0,0,0,1,1,1,0
"nein. schon bei der aufarbeitung wurde schnell ersichtlich, dass man den nsu runterspielen musste, um das strukturelle und teils gewollte versagen der behörden zu kaschieren. dass mit hans-georg maaßen ein verkappter rechtspopulist den verfassungsschutz jahrelang leiten konnte zeigt sehr gut, dass selbst in höchsten positionen keinerlei sensibilisierung vorhanden war, dazu brauchte es erst die hetzjagd in chemnitz samt stellungnahme von maaßen.",0,1,1,0,0,0,0,0,0,1,0,0,1
"ja was den sonst? 
Ich finds grad spassig und erfinde eine Gruppierung, deren ich bestimmte Merkmale zurodne anhand ich sie auch noch schlechter behandeln darf, und das alles für ""lalalala""?",0,0,0,0,0,0,0,0,0,1,1,1,0
"Es darf dort kein Art 3 EMRK gegeben sein. Also eine sehr hohe Wahrscheinlichkeit,von einem anschlag getroffen zu werden. Das ist in manchen Gegenden in Afghanistan nicht der Fall. Derzeit werden die Leute nicht nach Kabul, sondern nach mazar verwiesen. Hat der Anschlag dort stattgefunden?",0,0,0,0,0,0,0,0,0,1,1,1,0
"Wenn mir einer mit Propaganda kommt.. Und meint ER selbst hätte mehr begriffen als Ich.. Da muss ich immer laut lachen (: .. 
Erzählens das mit der Propaganda mal den Toten.. Kasperl..",0,0,0,0,0,0,0,0,0,1,1,1,0
"Bots können noch nicht dasselbe wie Menschen - daher ist Personal nötig und ergo bei besonderen Krisen wie dem Mitterlehner-Buch auch knapp. Zudem müssen auch Bots koordiniert werden.

Der Kern des Populismus ist ja zu behaupten, die Meinung des Volkes zu vertreten - exklusiv. Wer anderer Meinung ist, würde sich also gegen das Volk stellen.

So soll der Medienkonsument emotional erpresst werden, auch auf diese Meinung umzuschwenken. Darum ist es oberste Priorität dieser BR, die öffentliche Meinung zu manipulieren.

Oder wozu wären sonst die zusätzlichen 60 PR-Millionen gedacht gewesen?

Dass die Mehrheit hinter dieser BR und ihrer ""Haltung"" steht, halte ich eher für ein Märchen. Das Wunsch-Denk-Risiko schon abgezogen...",1,1,1,0,0,1,0,0,0,0,0,0,1
"Ich weiß nicht einmal ob es zerlegt geliefert wird…das letzte Bett wurde fertig geliefert..also ich lass mich überraschen, zusammenbauen könnte ich ;)",0,0,0,0,0,0,0,0,0,1,1,1,0
"Zum Wasserdampf: ""Warum steht der Wasserdampf nicht stärker im Zentrum der Diskussionen um die anthropogene Klimaänderung Weil der Wasserdampf zwar beim natürlichen, jedoch nicht beim anthropogenen Treibhauseffekt die Hauptrolle spielt. Denn die Atmosphäre nimmt - in Abhängigkeit von ihrer Temperatur - nur eine bestimmte Menge an Wasserdampf auf. Anders ist es beim Kohlendioxid: seit Beginn der Industrialisierung bis in die Gegenwart stieg der CO2-Gehalt der Atmosphäre um rund 35%"" - siehe https://www.umweltbundesamt.de/service/uba-fragen/ist-nicht-wasserdampf-statt-co2-das-wichtigste

'Wollen wir jemals wieder eine Eiszeit?' - dazu muessten die CO2-Konzentration auf zumindest vorindustrielle Werte gesenkt werden ... unwahrscheinlich!",0,0,0,0,0,0,0,0,0,1,1,1,0
"das hab ich mir auch gedacht.
Was machen die, wenn der Wiesberger jetzt das US-Masters gewinnt ?",0,0,0,0,0,0,0,0,0,1,1,1,0
